Test acc,Training acc,Test time,Training time,Epochs,Training size,Batchsize,Learning rate,Momentum,EpochLrDecrease,Backprop prob,Seed,Hidden Units1
76,85.927505,6.99E-05,0.0028534,3,469,46,0.0075678616,0.4922851,0.8266846,0.8688633,15832,24
85,76.666664,0.000111,0.0033765,5,390,67,0.0069927205,0.3764572,0.89148706,0.9424408,36506,26
73,82.40741,0.0001009,0.0042235,4,432,51,0.0024088789,0.41675058,0.82939863,0.81815153,5774,40
68,67.84232,7.68E-05,0.0028042,3,482,64,0.0010006829,0.28421205,0.8434232,0.82998174,90431,32
71,66.82692,0.0001116,0.0022409,3,416,84,0.0046881298,0.30839995,0.8141363,0.9143407,76127,29
77,72.7027,5.39E-05,0.0026418,5,370,76,0.006133467,0.118535,0.8714682,0.84504026,91305,32
84,94.76082,8.28E-05,0.0089465,5,439,17,0.008859525,0.29124704,0.80817544,0.88508755,20986,50
73,81.55737,8.28E-05,0.0056091,4,488,37,0.001786081,0.1954558,0.8923383,0.8811445,87294,34
69,74.61301,9.09E-05,0.0024162,4,323,99,0.0022692606,0.28507364,0.81875604,0.9295845,80783,41
73,87.22892,8.4E-05,0.0027933,3,415,58,0.005699752,0.4820581,0.86227685,0.96229607,93921,36
68,62.568306,8.5E-05,0.0024897,3,366,55,0.0018210285,0.23113821,0.8130964,0.9252574,91994,39
76,89.42529,6.97E-05,0.0031211,4,435,87,0.00805893,0.3333394,0.88449824,0.94197863,11388,34
82,86.07595,8.81E-05,0.0039519,4,474,54,0.009511098,0.2536603,0.8303936,0.9723097,72045,33
72,83.92484,5.86E-05,0.0080123,5,479,25,0.0021601915,0.22197874,0.8742319,0.8030762,52443,23
72,87.192116,7.64E-05,0.0025892,3,406,81,0.009003528,0.5076764,0.8965138,0.8822221,38793,42
58.999996,69.06976,7.6E-05,0.0086763,4,430,12,0.0016350871,0.2120698,0.887403,0.92645335,31115,21
68,60.377357,9.17E-05,0.0016258,3,318,89,0.008104681,0.23534918,0.8621896,0.991817,84875,30
77,74.67363,5.7E-05,0.0028484,4,383,57,0.0032082042,0.5087977,0.83936733,0.9159337,30420,20
81,86.472145,0.0001206,0.0033965,4,377,59,0.006895242,0.3936641,0.8961723,0.8106144,79823,44
71,72.584854,8.28E-05,0.0025132,3,383,58,0.0019790486,0.29967356,0.84596014,0.83014977,67884,50
65,65.129684,9.92E-05,0.0022295,4,347,87,0.0066467286,0.5556978,0.8020477,0.9913989,40182,44
80,81.54158,9.95E-05,0.0040692,4,493,74,0.007813849,0.40808758,0.8105903,0.9418599,71347,45
69,64.26593,8.64E-05,0.0020888,4,361,94,0.008282964,0.10394964,0.86860126,0.8715419,28398,41
81,92.6078,7.72E-05,0.0136107,5,487,12,0.005628455,0.32010004,0.80807954,0.98924476,50702,37
75,85.983826,8.26E-05,0.0034608,3,371,36,0.005373,0.26936156,0.8188396,0.9978342,11791,48
77,80.04158,8.66E-05,0.0043657,5,481,69,0.009928605,0.13819489,0.84776163,0.8719765,44953,45
